query_id,category,difficulty,question,retrieval_rank,retrieved_page,retrieved_chunk
D001,Diagnosis,Easy,What are the diagnostic criteria for PCOS?,1,63,"10 relevant studies showing an area under ROC of AMH for diagnosis of PCOS of 0.58-0.88. The threshold ranges 
from 25 to 99 pmol/l. In adults, there are 53 relevant studies showing an area under ROC of  AMH for diagnosis 
of PCOS of 0.58-0.99. The threshold ranges from 8.5-59 pmol/l. Factors influencing these thresholds include 
the use of different AMH assays, differences in age or BMI and whether PCOS or PCOM was excluded in the 
control population."
D001,Diagnosis,Easy,What are the diagnostic criteria for PCOS?,2,60,"demonstrating a sensitivity of 21-94% and specificity of 60-100% as an ultrasound criterion to diagnose PCOS. 
There is insufficient evidence to suggest use of other ultrasound parameters including ovarian area; maximum 
number follicles in a single sonographic plane; peripheral distribution of ovarian follicles; bright ovarian stroma; 
combination of age, follicle number, log ovarian volume, and testosterone; or combination of follicular size and 
ovarian volume for diagnosis of PCOS."
D001,Diagnosis,Easy,What are the diagnostic criteria for PCOS?,3,60,"59 International Evidence-based Guideline for the assessment and management of polycystic ovary syndrome 2023 
 
 
1.4 Ultrasound and polycystic ovarian morphology 
What are the most effective ultrasound criteria to diagnose PCOS? 
Clinical need for the question 
Polycystic ovarian morphology (PCOM) was incorporated into the diagnosis of PCOS in 2003 in the Rotterdam 
criteria, based on associations with clinical and endocrine features of the condition. 44 This introduced greater 
heterogeneity into PCOS with limited data on natural history, prompting calls for better characterisation and more 
research.45 The definition of PCOM in the Rotterdam criteria was 12 or more follicles measuring 2-9 mm throughout"
S001,Symtoms,Easy,What are the symptoms experienced by the patient usually?,1,93,"(e.g. age), diagnosis and symptoms severity, and available resources. 
Summary of narrative review evidence 
Given the limited evidence specifically in PCOS, this question was allocated as a narrative review and therefore 
a systematic literature review was not conducted. General population guidelines were accessed including 
 National Institute for Health and Care Excellence: 
www.nice.org.uk/guidance/published?type=csg,cg,mpg,ph,sg,sc 
 National Institute of Mental Health: www.nimh.nih.gov/health/index.shtml 
 American Psychiatric Association: www.psychiatry.org/psychiatrists/practice/clinical-practice-guidelines 
 National Health and Medical Research Centre: www.clinicalguidelines.gov.au"
S001,Symtoms,Easy,What are the symptoms experienced by the patient usually?,2,79,"78 
 
 
 
 
Chapter Two 
Prevalence, screening, and 
management of 
psychological features and 
models of care"
S001,Symtoms,Easy,What are the symptoms experienced by the patient usually?,3,229,"A test to diagnose diabetes where a high-glucose drink is given and blood samples 
are checked at regular intervals for two hours. 
 
 
 
Ovarian hyperstimulation 
syndrome (OHSS) 
A condition where too many follicles develop (following ovulation induction) 
which can result in marked abdominal swelling, nausea, vomiting and diarrhea, 
lower abdominal pain and shortness of breath."
C001, Cause, Easy," ""What are the known causes of PCOS?""",1,8,"The new guidelines used best practice to bring together evidence, expert perspectives and the preferences 
of women with PCOS. They note that PCOS can be diagnosed using specific signs, symptoms, and blood tests. 
The recommendations also simplify the tests needed for diagnosis. Once diagnosed, their doctors and healthcare 
professionals should identify and take care of the many different aspects of health and increased health risks 
affected by PCOS. This includes recognising increased risks in reproductive health such as reduced fertility, 
metabolism such as diabetes, heart health, skin health, sleep, and mental health such as depression.  
Doctors need to be aware of increased risks and check and intervene to prevent and limit these."
C001, Cause, Easy," ""What are the known causes of PCOS?""",2,9,"improved patient experience and health outcomes for the one in ten women worldwide with PCOS. 
 
Context and background 
Polycystic ovary syndrome (PCOS) is a significant public health issue with endocrine, reproductive, 
cardiometabolic, dermatologic and psychological features. PCOS is one of the most common conditions 
affecting around 10% of reproductive aged women, 1-5 with many remaining undiagnosed.4 Women with 
PCOS have diverse features including psychological (anxiety, depression, sleep and eating disorders), 6-8 
dermatologic (hirsutism, acanthosis nigricans and acne), reproductive (irregular menstrual cycles, infertility, 
endometrial cancer and pregnancy complications) 9 and metabolic features (insulin resistance, metabolic"
C001, Cause, Easy," ""What are the known causes of PCOS?""",3,91,"90 
 
 
2.6.4 What are the key challenges for those with PCOS when 
interacting with healthcare professionals about polycystic 
ovary syndrome and related features? 
Clinical need for the question 
Interactions between patients, their doctors and the wider healthcare team about PCOS are important to 
enhance knowledge, self-management, outcomes of care, shared decision making and support to achieve health 
outcomes that matter to them. As outlined there is also wide spread dissatisfaction with PCOS c are.143 PCOS is 
heterogeneous and varies across populations, individuals and across the life span. It affects physical  and mental 
health and has sociocultural implications as noted above. It is also a chronic disease in which self -management"
D002, Diagnosis, Medium," ""What is the Rotterdom Criteria for diagnosing PCOS?""",1,63,"10 relevant studies showing an area under ROC of AMH for diagnosis of PCOS of 0.58-0.88. The threshold ranges 
from 25 to 99 pmol/l. In adults, there are 53 relevant studies showing an area under ROC of  AMH for diagnosis 
of PCOS of 0.58-0.99. The threshold ranges from 8.5-59 pmol/l. Factors influencing these thresholds include 
the use of different AMH assays, differences in age or BMI and whether PCOS or PCOM was excluded in the 
control population."
