query_id,category,difficulty,question,retrieval_score,retrieval_rank,retrieved_page,retrieved_chunk
D001,Diagnosis,Easy,What are the diagnostic criteria for PCOS?,0.5912380218505859,1,63,"10 relevant studies showing an area under ROC of AMH for diagnosis of PCOS of 0.58-0.88. The threshold ranges 
from 25 to 99 pmol/l. In adults, there are 53 relevant studies showing an area under ROC of  AMH for diagnosis 
of PCOS of 0.58-0.99. The threshold ranges from 8.5-59 pmol/l. Factors influencing these thresholds include 
the use of different AMH assays, differences in age or BMI and whether PCOS or PCOM was excluded in the 
control population."
D001,Diagnosis,Easy,What are the diagnostic criteria for PCOS?,0.6573303937911987,2,62,"variability in availability of newer technologies and aim to improve training and standardise reporting. These 
recommendations are likely to improve the reliability of assessing and reporting FNPO and to provide for more 
accurate reporting of PCOM in the diagnosis of PCOS. Importantly, they may also limit use and costs of ultrasound, 
considering inconvenience and accessibility issues."
D001,Diagnosis,Easy,What are the diagnostic criteria for PCOS?,0.7284536361694336,3,174,"173 International Evidence-based Guideline for the assessment and management of polycystic ovary syndrome 2023 
 
 
The clinical questions addressed by each GDG are as follows: 
GDG 1 – Screening, diagnostic and risk assessment and life stage 
 In adolescents, at what time point after onset of menarche do irregular cycles indicate ongoing 
menstrual dysfunction? 
 In women with suspected PCOS, what is the most effective measure to diagnose PCOS related 
biochemical hyperandrogenism. 
 In women with suspected PCOS, what is the most effective measure to clinically diagnose PCOS 
related hyperandrogenism? 
 What are the most effective ultrasound criteria to diagnose PCOS? 
 Is anti-mullerian hormone (AMH) effective for diagnosis of PCOS? 
 Is AMH effective for diagnosis of PCOM? 
 In women with suspected PCOS, is there evidence of ethnic and geographic variations in prevalence 
and presentation? 
 What is the post-menopausal phenotype of PCOS and how elevated should androgens be to indicate PCOS? 
 Are women with PCOS at increased risk for cardiovascular disease (CVD)? 
 Are women with PCOS at increased risk for impaired glucose tolerance (IGT) and type 2 diabetes mellitus (T2D)?"
S001,Symtoms,Easy,What are the symptoms experienced by the patient usually?,1.2537261247634888,1,79,"78 
 
 
 
 
Chapter Two 
Prevalence, screening, and 
management of 
psychological features and 
models of care"
S001,Symtoms,Easy,What are the symptoms experienced by the patient usually?,1.288169026374817,2,183,"professionals 
Most patients should 
receive the recommended 
course of action. 
Recognise that different choices 
will be appropriate for different 
patients and that greater effort 
is needed with individuals to 
arrive at management decisions 
consistent with values and 
preferences. Decision aids 
and shared decision making 
are important here.
The test or intervention should only be considered by 
patients and clinicians within the setting of a research trial 
for which appropriate approvals and safety precautions 
have 
been established. 
 
 
 
Policy makers The recommendation 
can be adopted as policy 
in most situations. 
Policy making needs to 
consider perspectives and 
involvement of diverse 
stakeholders.
Policy decisions 
remain unclear. 
Policy makers need to be aware 
of the need for evidence gaps and 
health professional and consumer 
prioritised research gaps. 
 
 
 
* Strong recommendations based on high quality evidence will apply to most patients for whom these recommendations are made, but may not apply to all patients"
S001,Symtoms,Easy,What are the symptoms experienced by the patient usually?,1.2928462028503418,3,229,"are checked at regular intervals for two hours. 
 
 
 
Ovarian hyperstimulation 
syndrome (OHSS) 
A condition where too many follicles develop (following ovulation induction) 
which can result in marked abdominal swelling, nausea, vomiting and diarrhea, 
lower abdominal pain and shortness of breath."
C001, Cause, Easy," ""What are the known causes of PCOS?""",0.8300198316574097,1,173,"core outcome set in PCOS in 2020. For 2023, a prioritisation exercise was conducted to determine new questions. 
This targeted those with PCOS and attracted 750 responses. Partner and collaborating organisations provided 
input and the expert GDGs and consumer advisory group had input into which clinical questions were to be 
addressed by a systematic review or by narrative review. 
Systematic reviews were performed for all questions where systematic evidence appraisal was suited. Narrative 
evidence reviews were completed where questions were less well suited to a PICO systematic review format. 
Of the 55 questions, 52 were addressed by guideline systematic reviews, and three by narrative reviews of isolated 
PCOS studies supported by systematic reviews/guidelines in the general population. Of the 52 systematic 
reviews, some searches identified no evidence addressing the specific question and/or PICO (i.e. no eligible 
studies), in which case results were described narratively, drawing on clinical expertise and evidence from 
the general population."
C001, Cause, Easy," ""What are the known causes of PCOS?""",0.870833158493042,2,8,"professionals should identify and take care of the many different aspects of health and increased health risks 
affected by PCOS. This includes recognising increased risks in reproductive health such as reduced fertility, 
metabolism such as diabetes, heart health, skin health, sleep, and mental health such as depression.  
Doctors need to be aware of increased risks and check and intervene to prevent and limit these. 
The guidelines also say that those with PCOS need to be checked for depression and anxiety, and other mental 
health challenges that are more common in PCOS. It also notes that their doctors should be trained to help 
detect, prevent and manage these if present. The guidelines suggest that health professionals should work 
together with those with PCOS to make decisions about their care, and that they should be careful  to consider 
cultural factors and ethnicity and not discriminate, especially based on higher weight, which is very common in 
PCOS. They recognise the need for greater education and better information for health professionals and those 
with PCOS, and they highlight the need for shared decision making together, alongside better care and services."
C001, Cause, Easy," ""What are the known causes of PCOS?""",0.8861145377159119,3,9,"affecting around 10% of reproductive aged women, 1-5 with many remaining undiagnosed.4 Women with 
PCOS have diverse features including psychological (anxiety, depression, sleep and eating disorders), 6-8 
dermatologic (hirsutism, acanthosis nigricans and acne), reproductive (irregular menstrual cycles, infertility, 
endometrial cancer and pregnancy complications) 9 and metabolic features (insulin resistance, metabolic 
syndrome, type 2 diabetes (T2D), cardiovascular risk factors and increased cardiovascular disease (CVD).10-12 
Diagnosis and treatment of PCOS remain challenging including accurately defining individual diagnostic criteria, 
marked clinical heterogeneity, the influence of excess weight, ethnic differences and variation across the life 
course. These factors contribute to variation in diagnosis, presentation and care. 13 This culminates in delayed 
diagnosis, poor diagnosis experience and dissatisfaction with care, as reported by  women internationally.14 
These challenges are exacerbated by the misleading name of the condition, which focuses only on reproductive"
D002, Diagnosis, Medium," ""What is the Rotterdom Criteria for diagnosing PCOS?""",0.7972921133041382,1,63,"10 relevant studies showing an area under ROC of AMH for diagnosis of PCOS of 0.58-0.88. The threshold ranges 
from 25 to 99 pmol/l. In adults, there are 53 relevant studies showing an area under ROC of  AMH for diagnosis 
of PCOS of 0.58-0.99. The threshold ranges from 8.5-59 pmol/l. Factors influencing these thresholds include 
the use of different AMH assays, differences in age or BMI and whether PCOS or PCOM was excluded in the 
control population."
